#NET STA   CHA LOC    LAT      LON       ELEV ONDATE     OFFDATE 
NP  1581  HNZ  --  40.73501 -124.20763     4 1999/12/15 3000/01/01
NP  1584  HNZ  --  40.49761 -124.29448     0 1999/12/17 2012/02/28
NP  1584  HNZ  --  40.49761 -124.29448   748 2012/02/28 3000/01/01
NP  1586  HNZ  --  40.64420 -124.22071    36 1999/12/18 3000/01/01
NP  1662  HNZ  GC  37.83980 -122.29610     3 1997/01/30 2000/04/27
NP  1662  HNZ  GN  37.83980 -122.29610     3 1997/01/30 2003/10/06
NP  1662  HNZ  GS  37.83980 -122.29610     3 1997/01/30 2000/04/27
NP  1662  HNZ  GW  37.83980 -122.29610     3 1997/01/30 2000/04/27
NP  1662  HNZ  GC  37.84200 -122.29630     3 2000/04/27 3000/01/01
NP  1662  HNZ  GN  37.84200 -122.29630     3 2003/10/06 3000/01/01
NP  1662  HNZ  GS  37.84200 -122.29630     3 2000/04/27 3000/01/01
NP  1662  HNZ  GW  37.84200 -122.29630     3 2000/04/27 3000/01/01
NP  1662  HNZ  FN  37.84229 -122.29703     3 1997/01/30 3000/01/01
NP  1675  HNZ  --  37.72760 -122.38515     9 1996/02/01 3000/01/01
NP  1684  HNZ  --  37.51485 -121.83119   128 1999/04/21 3000/01/01
NP  1688  HNZ  --  37.59669 -121.88094    91 1994/03/08 3000/01/01
NP  1691  HNZ  --  37.92657 -122.07853    37 1996/02/09 3000/01/01
NP  1695  HNZ  --  37.40161 -122.02483     8 1993/10/01 3000/01/01
NP  1696  HNZ  LA  37.39631 -121.75803     0 2008/09/25 2012/08/14
NP  1696  HNZ  LA  37.39631 -121.75803   523 2013/05/29 3000/01/01
NP  1697  HNZ  --  37.23917 -122.10653   879 1997/05/09 3000/01/01
NP  1722  HNZ  --  37.97862 -122.36597     4 1999/12/18 3000/01/01
NP  1725  HNZ  --  40.54408 -124.35440   173 1994/02/10 3000/01/01
NP  1737  HNZ  --  37.93378 -122.29954     0 1994/08/19 2010/10/19
NP  1737  HNZ  --  37.93378 -122.29954   208 2011/05/18 3000/01/01
NP  1739  HNZ  --  37.59997 -122.00660     0 1995/01/26 1997/05/05
NP  1739  HNZ  --  37.59997 -122.00660    71 1997/05/05 3000/01/01
NP  1741  HNZ  --  37.80343 -122.44317     4 1996/02/08 3000/01/01
NP  1743  HNZ  --  38.26666 -122.65759     0 1997/06/11 2003/08/18
NP  1743  HNZ  --  38.26666 -122.65759     9 2003/08/18 3000/01/01
NP  1746  HNZ  --  40.58908 -124.14790     0 1998/07/23 1999/12/18
NP  1746  HNZ  --  40.58908 -124.14790    16 1999/12/18 3000/01/01
NP  1749  HNZ  --  37.94993 -122.41650    17 1999/12/16 3000/01/01
NP  1750  HNZ  --  37.55307 -122.09093     6 1999/12/16 3000/01/01
NP  1751  HNZ  --  38.06671 -122.53915     0 1999/12/14 2007/06/20
NP  1751  HNZ  --  38.06671 -122.53915     8 2007/06/20 2013/02/21
NP  1752  HNZ  --  37.46782 -122.30787     0 1999/11/15 2004/04/26
NP  1752  HNZ  --  37.46782 -122.30787   121 2004/04/26 3000/01/01
NP  1753  HNZ  --  37.55957 -122.24851     2 2000/01/13 3000/01/01
NP  1754  HNZ  --  37.67191 -122.08119    36 2000/02/02 3000/01/01
NP  1755  HNZ  --  37.76265 -122.24377     9 2000/03/17 3000/01/01
NP  1756  HNZ  --  37.73774 -122.25260     0 2000/04/13 2008/10/21
NP  1756  HNZ  --  37.73774 -122.25260     3 2008/10/21 3000/01/01
NP  1757  HNZ  --  37.54316 -121.92539     0 2000/10/24 2012/04/19
NP  1758  HNZ  --  37.14135 -121.66312   105 2000/08/07 3000/01/01
NP  1759  HNZ  --  38.10767 -122.25623     0 2000/08/10 2003/09/27
NP  1759  HNZ  --  38.10767 -122.25623    19 2004/11/18 3000/01/01
NP  1760  HNZ  --  38.05415 -122.15743    19 2000/08/08 3000/01/01
NP  1762  HNZ  --  38.09755 -122.56564     0 2000/06/29 2000/08/09
NP  1762  HNZ  --  38.09755 -122.56564     4 2000/08/09 3000/01/01
NP  1765  HNZ  --  38.33046 -122.31845    23 2000/06/28 3000/01/01
NP  1767  HNZ  --  38.44067 -122.70456    24 2000/06/29 3000/01/01
NP  1768  HNZ  --  38.23363 -122.63671   -16 2000/08/09 3000/01/01
NP  1769  HNZ  --  38.25536 -121.95715    13 2000/09/19 3000/01/01
NP  1770  HNZ  --  37.76021 -122.41524    -6 2000/06/13 3000/01/01
NP  1771  HNZ  --  37.77737 -122.39689   -11 2000/06/28 3000/01/01
NP  1772  HNZ  --  37.75094 -122.49071    55 2000/06/07 3000/01/01
NP  1773  HNZ  --  37.76386 -122.47360    62 2000/08/28 3000/01/01
NP  1774  HNZ  --  37.76146 -122.50447    16 2000/06/07 3000/01/01
NP  1775  HNZ  --  37.40701 -122.09460     9 2000/06/08 3000/01/01
NP  1776  HNZ  --  37.47483 -122.23923     3 2000/06/06 3000/01/01
NP  1777  HNZ  --  37.54187 -122.30471    22 2000/06/06 2010/08/10
NP  1778  HNZ  --  37.30249 -121.97978    31 2000/06/26 3000/01/01
NP  1779  HNZ  --  37.26747 -121.86656    84 2000/06/29 3000/01/01
NP  1780  HNZ  --  37.26352 -121.91617    35 2000/06/26 3000/01/01
NP  1781  HNZ  --  37.30143 -121.90390    13 2000/06/29 3000/01/01
NP  1782  HNZ  --  37.31816 -121.94353    17 2000/06/29 3000/01/01
NP  1783  HNZ  --  37.30660 -121.84915     8 2000/06/22 3000/01/01
NP  1784  HNZ  --  37.45554 -122.17250    17 2012/08/02 3000/01/01
NP  1786  HNZ  --  37.68030 -121.73957   141 2000/08/11 3000/01/01
NP  1787  HNZ  --  37.41785 -122.20612    92 2000/07/03 3000/01/01
NP  1788  HNZ  --  37.41702 -121.91541    20 2001/06/06 3000/01/01
NP  1790  HNZ  --  37.59094 -122.36741   -24 2001/06/07 3000/01/01
NP  1791  HNZ  --  37.36495 -122.03890     0 2001/07/18 2007/11/28
NP  1791  HNZ  --  37.36495 -122.03890    43 2008/02/27 3000/01/01
NP  1792  HNZ  --  37.74766 -122.42528    89 2001/06/11 3000/01/01
NP  1793  HNZ  --  37.34654 -121.80778    18 2001/07/12 3000/01/01
NP  1794  HNZ  --  37.40718 -122.00107    31 2001/08/27 3000/01/01
NP  1795  HNZ  --  37.74664 -122.38679     1 2002/04/03 3000/01/01
NP  1796  HNZ  --  37.39415 -122.06041    11 2001/08/30 3000/01/01
NP  1797  HNZ  --  36.89050 -121.40370    69 2001/11/07 3000/01/01
NP  1798  HNZ  --  37.37602 -121.84374    20 2002/09/11 3000/01/01
NP  1799  HNZ  --  37.27113 -121.98624    52 2001/06/28 3000/01/01
NP  1801  HNZ  --  37.45096 -122.42870     5 2001/07/16 3000/01/01
NP  1802  HNZ  --  37.59268 -122.07449    22 2002/09/12 3000/01/01
NP  1803  HNZ  --  37.71737 -121.72701   131 2002/03/26 3000/01/01
NP  1804  HNZ  --  37.67925 -122.48405   111 2001/07/20 3000/01/01
NP  1805  HNZ  --  37.78446 -122.30297     3 2001/07/17 3000/01/01
NP  1806  HNZ  --  37.91033 -122.53682     3 2001/07/19 3000/01/01
NP  1808  HNZ  --  36.80179 -118.20398  1203 2001/07/17 3000/01/01
NP  1813  HNZ  --  38.03433 -122.27016   -16 2001/09/24 3000/01/01
NP  1815  HNZ  --  37.48910 -122.26370    33 2003/02/20 3000/01/01
NP  1816  HNZ  --  37.74484 -122.40134     0 2003/01/14 3000/01/01
NP  1817  HNZ  --  37.77934 -122.48600     0 2003/01/15 3000/01/01
NP  1818  HNZ  --  37.71633 -122.43117    47 2003/01/22 3000/01/01
NP  1819  HNZ  --  37.81076 -122.29252    12 2003/07/01 3000/01/01
NP  1820  HNZ  --  37.82510 -122.27606     7 2003/06/25 3000/01/01
NP  1821  HNZ  --  37.79860 -122.26840    11 2003/07/02 3000/01/01
NP  1822  HNZ  --  37.89650 -122.32200     4 2003/02/05 3000/01/01
NP  1823  HNZ  --  37.99448 -122.11472    63 2003/02/11 3000/01/01
NP  1824  HNZ  --  37.72416 -122.44841    87 2003/08/06 3000/01/01
NP  1825  HNZ  --  37.41395 -121.87085    33 2003/05/20 3000/01/01
NP  1826  HNZ  --  37.68060 -121.92097   101 2003/07/30 3000/01/01
